date	status	zdf_url	returned_date	title
04.12.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-4-dezember-2024-100	20241204	Der Talk vom 4. Dezember
11.12.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-11-dezember-2024-100	20241211	Der Talk vom 11. Dezember
12.12.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-12-dezember-2024-102	20241212	Der Talk vom 12. Dezember
17.12.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-17-dezember-2024-100	20241217	Der Talk vom 17. Dezember
18.12.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-18-dezember-2024-100	20241218	Der Talk vom 18. Dezember
07.01.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-7-januar-2025-100	20250107	Der Talk vom 7. Januar 
09.01.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-9-januar-2025-100	20250109	Der Talk vom 9. Januar
14.01.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-14-januar-2025-100	20250114	Der Talk vom 14. Januar
16.01.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-16-januar-2025-100	20250116	Der Talk vom 16. Januar
23.01.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-23-januar-2025-102	20250123	Der Talk vom 23. Januar
28.01.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-28-januar-2025-100	20250128	Der Talk vom 28. Januar
30.01.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-30-januar-2025-102	20250130	Der Talk vom 30. Januar
04.02.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-4-februar-2025-100	20250204	Der Talk vom 4. Februar
09.02.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-9-februar-2025-100	20250209	Der Talk vom 9. Februar
12.02.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-12-februar-2025-100	20250212	Der Talk vom 12. Februar
13.02.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-13-februar-2025-102	20250213	Der Talk vom 13. Februar
18.02.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-18-februar-2025-100	20250218	Der Talk vom 18. Februar
19.02.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-19-februar-2025-100	20250219	Der Talk vom 19. Februar
20.02.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-20-februar-2025-102	20250220	Der Talk vom 20. Februar
05.03.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-5-maerz-2025-100	20250305	Der Talk vom 5. März
18.03.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-18-maerz-2025-100	20250318	Der Talk vom 18. März
19.03.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-19-maerz-2025-100	20250319	Der Talk vom 19. März
20.03.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-20-maerz-2025-100	20250320	Der Talk vom 20. März
27.03.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-27-maerz-2025-100	20250327	Der Talk vom 27. März
02.04.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-2-april-2025-100	20250402	Der Talk vom 2. April
15.04.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-15-april-2025-100	20250415	Der Talk vom 15. April
17.04.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-17-april-2025-100	20250417	Der Talk vom 17. April
22.04.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-22-april-2025-100	20250422	Der Talk vom 22. April
24.04.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-24-april-2025-100	20250424	Der Talk vom 24. April
30.04.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-30-april-2025-100	20250430	Der Talk vom 30. April
08.05.2025	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-8-mai-2025-102	20250508	Der Talk vom 8. Mai
